1, 6:25, 6:46
2, 6:37, 6:58
3, 7:07, 7:30
4, 7:32, 7:55
5, 8:00, 8:23
6, 8:10, 8:40
7, 8:42, 9:05
8, 8:52, 9:15
9, 9:07, 9:30
10, 9:27, 9:48
11, 9:42, 10:03
12, 10:00, 10:21
13, 10:15, 10:36
14, 10:45, 11:06
15, 11:00, 11:21
16, 11:22, 11:43
17, 11:47, 12:08
18, 12:02, 12:23
19, 12:15, 12:36
20, 12:30, 12:51
21, 12:45, 13:06
22, 13:00, 13:21
23, 13:15, 13:36
24, 13:30, 13:51 
25, 13:45, 14:06
26, 14:00, 14:21
27, 14:15, 14:36
28, 14:30, 14:51
29, 14:45, 15:08
30, 15:00, 15:23
31, 15:30, 15:53
32, 15:45, 16:08
33, 16:00, 16:23
34, 16:12, 16:40
35, 16:20, 16:43
36, 16:27, 16:51
37, 16:27, 16:55
38, 16:42, 17:10
39, 16:55, 17:23
40, 16:57, 17:25
41, 17:12, 17:40
42, 17:27, 17:51
43, 17:27, 17:55
44, 17:47, 18:15
45, 18:02, 18:30
46, 18:10, 18:33
47, 18:17, 18:45
48, 18:29, 18:57
49, 18:52, 19:20
50, 19:07, 19:35
51, 19:30, 19:53
52, 19:52, 20:15
53, 20:22, 20:43
54, 20:37, 20:58
55, 21:00, 21:21
56, 21:17, 21:38
57, 21:40, 22:01
58, 22:14, 22:35
59, 22:32, 22:53